Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"UFC on ESPN 1 - Ngannou vs. Velasquez","LOSS","CAIN VELASQUEZ","FRANCIS NGANNOU","KO (Punches)","Jason Herzog","1","0:26","-225"
"UFC 200 - Tate vs. Nunes","WIN","CAIN VELASQUEZ","TRAVIS BROWNE","TKO (Punches)","John McCarthy","1","4:57","-355"
"UFC 188 - Velasquez vs. Werdum","LOSS","CAIN VELASQUEZ","FABRICIO WERDUM","Submission (Guillotine Choke)","Herb Dean","3","2:13","-700"
"UFC 166 - Velasquez vs. Dos Santos 3","WIN","CAIN VELASQUEZ","JUNIOR DOS SANTOS","TKO (Slam and Punch)","Herb Dean","5","3:09","-233"
"UFC 160 - Velasquez vs. Bigfoot 2","WIN","CAIN VELASQUEZ","ANTONIO SILVA","TKO (Punches)","Mario Yamasaki","1","1:21","-750"
"UFC 155 - Dos Santos vs. Velasquez 2","WIN","CAIN VELASQUEZ","JUNIOR DOS SANTOS","Decision (Unanimous)","Herb Dean","5","5:00","+160"
"UFC 146 - Dos Santos vs. Mir","WIN","CAIN VELASQUEZ","ANTONIO SILVA","TKO (Punches)","Josh Rosenthal","1","3:36","-475"
"UFC on Fox 1 - Velasquez vs. Dos Santos","LOSS","CAIN VELASQUEZ","JUNIOR DOS SANTOS","KO (Punches)","John McCarthy","1","1:04","-165"
"UFC 121 - Lesnar vs. Velasquez","WIN","CAIN VELASQUEZ","BROCK LESNAR","TKO (Punches)","Herb Dean","1","4:12","+145"
"UFC 110 - Nogueira vs. Velasquez","WIN","CAIN VELASQUEZ","ANTONIO RODRIGO NOGUEIRA","KO (Punches)","Herb Dean","1","2:20","-118"
"UFC 104 - Machida vs. Shogun","WIN","CAIN VELASQUEZ","BEN ROTHWELL","TKO (Punches)","Steve Mazzagatti","2","0:58","-357"
"UFC 99 - The Comeback","WIN","CAIN VELASQUEZ","CHEICK KONGO","Decision (Unanimous)","Dan Miragliotta","3","5:00","-205"
"UFC Fight Night 17 - Lauzon vs. Stephens","WIN","CAIN VELASQUEZ","DENIS STOJNIC","TKO (Punches)","Jorge Ortiz","2","2:34","-1000"
"UFC Fight Night 14 - Silva vs. Irvin","WIN","CAIN VELASQUEZ","JAKE O'BRIEN","TKO (Punches)","Mario Yamasaki","1","2:02","-400"
"UFC 83 - Serra vs. St. Pierre 2","WIN","CAIN VELASQUEZ","BRAD MORRIS","TKO (Punches)","Steve Mazzagatti","1","2:10","-325"
"Bodog Fight - Clash of the Nations","WIN","CAIN VELASQUEZ","JEREMIAH CONSTANT","TKO (Punches)","N/A","1","4:00",""
"Strikeforce - Tank vs. Buentello","WIN","CAIN VELASQUEZ","JESSE FUJARCZYK","TKO (Punches)","N/A","1","1:58",""
"UFC 234 - Adesanya vs. Silva","LOSS","CALLAN POTTER","JALIN TURNER","TKO (Body Kick and Punches)","Peter Hickmott","1","0:53","+175"
"EMMA - Eternal MMA 40","WIN","CALLAN POTTER","B.J. BLAND","Decision (Split)","Slade Norris","3","5:00",""
"ACB 88 - Barnatt vs. Celinski","LOSS","CALLAN POTTER","MARCIN HELD","Technical Submission (Heel Hook)","Lukasz Bosacki","1","1:09","+517"
"HFS - Hex Fight Series 12","WIN","CALLAN POTTER","JACK BECKER","KO (Punch)","Gerald Burton-Batty","3","0:32",""
"EMMA - Eternal MMA 29","WIN","CALLAN POTTER","BRENTIN MUMFORD","Submission (Rear-Naked Choke)","Peter Hickmott","1","3:43",""
"HFS - Hex Fight Series 8","WIN","CALLAN POTTER","ABEL BRITES","Submission (Triangle Choke)","N/A","1","1:48",""
"EMMA - Eternal MMA 20","WIN","CALLAN POTTER","ISAAC TISDELL","Submission (Guillotine Choke)","N/A","1","1:04",""
"HFS 6 - Ebersole vs. Kennedy","WIN","CALLAN POTTER","MATIU THOMS","Submission (Rear-Naked Choke)","N/A","1","3:21",""
"HFS - Hex Fight Series 5","WIN","CALLAN POTTER","SAM HAYWARD","KO (Head Kick)","Gerald Burton-Batty","3","0:17",""
"Minotaur 2 - Rampage","WIN","CALLAN POTTER","STEVEN MAXWELL","Submission (Rear-Naked Choke)","N/A","1","0:00",""
"HFS - Hex Fight Series 4","WIN","CALLAN POTTER","KAHN SANDY","Submission (Arm-Triangle Choke)","Greg Kleynjans","2","4:10",""
"K-Oz Entertainment - Bragging Rights 7: Resurrection","LOSS","CALLAN POTTER","DAVID VERGERS","TKO (Punches)","Slade Norris","1","3:09",""
"HFS - Hex Fight Series 2","LOSS","CALLAN POTTER","STEVE KENNEDY","Submission (Rear-Naked Choke)","N/A","1","3:15",""
"Valor Fight 9 - Potter vs. Dare","WIN","CALLAN POTTER","STUART DARE","KO (Head Kick)","Jason Green","5","1:14",""
"AFC 9 - Australian Fighting Championship 9","LOSS","CALLAN POTTER","COREY NELSON","KO (Punches)","N/A","1","3:15",""
"Valor Fight 7 - Potter vs. Butt","WIN","CALLAN POTTER","DAVID BUTT","KO (Head Kick)","Peter Hickmott","2","0:11",""
"AFC 7 - Australian Fighting Championship 7","WIN","CALLAN POTTER","TROY RESIC","TKO (Punches)","Christopher Shen","1","3:40",""
"MMADU - MMA Down Under 4","WIN","CALLAN POTTER","DAVID DECONTE","Submission (Armbar)","N/A","1","1:54",""
"Valor Fight 5 - One Year Anniversary","WIN","CALLAN POTTER","NICK DENHOLM","Submission (Guillotine Choke)","Jason Green","1","0:41",""
"Valor Fight 5 - One Year Anniversary","WIN","CALLAN POTTER","DAMON UPTON-GREER","TKO (Punches)","John Sharp","1","0:08",""
"Shamrock Events - Night of Mayhem 6","LOSS","CALLAN POTTER","JAKE MATTHEWS","Submission (Triangle Choke/Armbar)","N/A","1","1:42",""
"Valor Fight 3 - Invicta","WIN","CALLAN POTTER","ALEX OLIVER","Submission (Rear-Naked Choke)","Peter Hickmott","1","0:47",""
"Gladiators Cage Fighting - Gladiators 2","LOSS","CALLAN POTTER","RICHARD WALSH","KO (Knee)","N/A","1","4:15",""
"Shamrock Events - Kings of Kombat 7","WIN","CALLAN POTTER","DOMENIC CHIAVONE","Submission (Rear-Naked Choke)","N/A","1","0:00",""
"Brute Force 15 - In the Line of Fire","LOSS","CALLAN POTTER","NICK PATTERSON","Submission (Triangle Choke)","Ignatius Misolidis","2","2:38",""
"UFC 238 - Cejudo vs. Moraes","WIN","CALVIN KATTAR","RICARDO LAMAS","TKO (Punches)","Dan Miragliotta","1","4:06","-208"
"UFC Fight Night 138 - Oezdemir vs. Smith","WIN","CALVIN KATTAR","CHRIS FISHGOLD","TKO (Punches)","Yves Lavigne","1","4:11","-455"
"UFC 223 - Khabib vs. Iaquinta","LOSS","CALVIN KATTAR","RENATO CARNEIRO","Decision (Unanimous)","Todd Anderson","3","5:00","-135"
"UFC 220 - Miocic vs. Ngannou","WIN","CALVIN KATTAR","SHANE BURGOS","TKO (Punches)","Dan Miragliotta","3","0:32","+120"
"UFC 214 - Cormier vs. Jones 2","WIN","CALVIN KATTAR","ANDRE FILI","Decision (Unanimous)","John McCarthy","3","5:00","+260"
"CES MMA 38 - Soriano vs. Makashvili","WIN","CALVIN KATTAR","CHRIS FOSTER","Decision (Unanimous)","Keith Peterson","3","5:00","-400"
"CES MMA 34 - Curtis vs. Burrell","WIN","CALVIN KATTAR","KENNY FOSTER","Decision (Split)","Dan Miragliotta","3","5:00","-475"
"CZ 44 - Steel Cage Fighters","WIN","CALVIN KATTAR","GABRIEL BAINO","Decision (Unanimous)","N/A","3","5:00",""
"CES MMA - Real Pain","WIN","CALVIN KATTAR","SAUL ALMEIDA","Decision (Unanimous)","Keith Peterson","3","5:00",""
"CZ 39 - MMA Smack Down at The Rock","WIN","CALVIN KATTAR","CODY STEVENS","Decision (Unanimous)","N/A","3","5:00",""
"CZ 36 - Smashing on The Rock","WIN","CALVIN KATTAR","LUIZ RODRIGUES","Decision (Unanimous)","N/A","3","5:00",""
"CZ 33 - Massacre in the Meadow","WIN","CALVIN KATTAR","CHRIS  CONNOR","TKO (Punches)","N/A","1","3:40",""
"XCFL - Xtreme Championship Fight League 2","WIN","CALVIN KATTAR","JEFF ANDERSON","TKO (Punches)","N/A","3","4:05",""
"XCFL - Xtreme Championship Fight League 1","LOSS","CALVIN KATTAR","DON CARLO-CLAUSS","Decision (Split)","N/A","3","5:00",""
"ASC 2 - American Steel Cagefighting 2","WIN","CALVIN KATTAR","ANDREW MONTANEZ","Decision (Unanimous)","N/A","5","5:00",""
"WCF - World Championship Fighting 7","WIN","CALVIN KATTAR","RODRIGO ALMEIDA","Submission (Guillotine Choke)","N/A","1","2:16",""
"CZ 27 - The Rock 2","WIN","CALVIN KATTAR","JONATHAN BERMUDEZ","TKO (Punches)","N/A","1","0:29",""
"WCF - World Championship Fighting 5","WIN","CALVIN KATTAR","BOBBY DIAZ","Submission (Triangle Choke)","N/A","1","1:21",""
"CZ 26 - The Rock","WIN","CALVIN KATTAR","KEVIN RODDY","KO (Punches)","N/A","1","0:47",""
"EliteXC - Primetime","LOSS","CALVIN KATTAR","JAMES JONES","Submission (Rear-Naked Choke)","N/A","1","4:49","n/a"
"CZ 24 - Renaissance","WIN","CALVIN KATTAR","BOB PUPA","Submission (Punches)","N/A","1","0:51",""
"CZ 23 - Down and Out","WIN","CALVIN KATTAR","DONALD PETERS","TKO (Punches)","N/A","1","N/A",""
"CZ 22 - Cage Masters 3","WIN","CALVIN KATTAR","TONY ARMIJO","TKO (Punches)","N/A","1","2:02",""
"UFC Fight Night 150 - Jacare vs. Hermansson","WIN","CARLA ESPARZA","VIRNA JANDIROBA","Decision (Unanimous)","Alan Abeles","3","5:00","-135"
"UFC 228 - Woodley vs. Till","LOSS","CARLA ESPARZA","TATIANA SUAREZ","TKO (Punches)","Kerry Hatley","3","4:33","+300"
"UFC 225 - Whittaker vs. Romero 2","LOSS","CARLA ESPARZA","CLAUDIA GADELHA","Decision (Split)","Rob Madrigal","3","5:00","+180"
"UFC 219 - Cyborg vs. Holm","WIN","CARLA ESPARZA","CYNTHIA CALVILLO","Decision (Unanimous)","Chris Tognoni","3","5:00","+165"
"UFC Fight Night 112 - Chiesa vs. Lee","WIN","CARLA ESPARZA","MARYNA MOROZ","Decision (Unanimous)","Mario Yamasaki","3","5:00","-255"
"UFC Fight Night 105 - Lewis vs. Browne","LOSS","CARLA ESPARZA","RANDA MARKOS","Decision (Split)","Keith Peterson","3","5:00","-310"
"UFC 197 - Jones vs. St. Preux","WIN","CARLA ESPARZA","JULIANA LIMA","Decision (Unanimous)","John McCarthy","3","5:00","-220"
"UFC 185 - Pettis vs. Dos Anjos","LOSS","CARLA ESPARZA","JOANNA JEDRZEJCZYK","KO (Punches)","Don Turnage","2","4:17","-185"
"UFC - The Ultimate Fighter 20 Finale","WIN","CARLA ESPARZA","ROSE NAMAJUNAS","Submission (Rear-Naked Choke)","Yves Lavigne","3","1:26","-110"
"Invicta FC 4 - Esparza vs. Hyatt","WIN","CARLA ESPARZA","BEC RAWLINGS","Decision (Unanimous)","John McCarthy","5","5:00","-1850"
"Invicta FC 3 - Penne vs. Sugiyama","WIN","CARLA ESPARZA","LYNN ALVAREZ","TKO (Punches)","Rob Hinds","1","2:53","n/a"
"Invicta FC 2 - Baszler vs. McMann","WIN","CARLA ESPARZA","SARAH SCHNEIDER","TKO (Punches)","John McCarthy","2","4:28","n/a"
"XFC 15 - Tribute","WIN","CARLA ESPARZA","FELICE HERRIG","Decision (Unanimous)","Chris Adams","3","5:00","-220"
"BFC - Bellator Fighting Championships 46","LOSS","CARLA ESPARZA","JESSICA AGUILAR","Decision (Split)","Troy Waugh","3","5:00",""
"ECSC - Friday Night Fights 3","WIN","CARLA ESPARZA","YADIRA ANZALDUA","Submission (Rear-Naked Choke)","Stan Saavedra","1","0:53",""
"Crowbar MMA - Winter Brawl","WIN","CARLA ESPARZA","NINA ANSAROFF","Decision (Split)","Daniel Grimestad","3","5:00",""
"BFC - Bellator Fighting Championships 24","LOSS","CARLA ESPARZA","MEGUMI FUJII","Submission (Armbar)","Troy Waugh","2","0:57",""
"NMEF / RMBB - Ladies Night: Clash of the Titans 8","WIN","CARLA ESPARZA","LACEY SCHUCKMAN","Submission (Rear-Naked Choke)","Adam Martinez","2","2:37",""
"LBFN 8 - Long Beach Fight Night 8","WIN","CARLA ESPARZA","KARINA HALLINAN","Submission (Rear-Naked Choke)","Larry Landless","2","2:16",""
"RITC 3 - Respect in the Cage 3","WIN","CARLA ESPARZA","CASSIE TROST","TKO (Punches)","Nelson Hamilton","1","0:48",""
"UFC - The Ultimate Fighter Season 20 Semifinals","WIN","CARLA ESPARZA","JESSICA PENNE","Decision (Unanimous)","Jason Herzog","3","5:00","-110"
"UFC - The Ultimate Fighter Season 20 Quarterfinals, Day 2","WIN","CARLA ESPARZA","TECIA TORRES","Decision (Majority)","Herb Dean","2","5:00","-110"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 4","WIN","CARLA ESPARZA","ANGELA HILL","Submission (Rear-Naked Choke)","Chris Tognoni","1","3:41","-110"
"UFC Fight Night 145 - Blachowicz vs. Santos","LOSS","CARLO PEDERSOLI","DWIGHT GRANT","TKO (Punches)","Marc Goddard","1","4:59","-175"
"UFC Fight Night 137 - Santos vs. Anders","LOSS","CARLO PEDERSOLI","ALEX OLIVEIRA","KO (Punches)","Jerin Valel","1","0:39","+320"
"UFC Fight Night 130 - Thompson vs. Till","WIN","CARLO PEDERSOLI","BRADLEY SCOTT","Decision (Split)","Leon Roberts","3","5:00","-175"
"CW 93 - Cage Warriors 93","WIN","CARLO PEDERSOLI","NICOLAS DALBY","Decision (Split)","Marc Goddard","3","5:00",""
"RXF 29 - MMA All Stars 5: RXF vs. Magnum FC","WIN","CARLO PEDERSOLI","MIRCEA DUMITRESCU","Submission (Arm-Triangle Choke)","Sebi Halmagean","1","2:39",""
"Magnum FC 2 - Magnum Fighting Championship 2","WIN","CARLO PEDERSOLI","PAVEL PINZUL","Submission (Rear-Naked Choke)","Danial Sharifi","1","2:30",""
"Venator FC - Venator Fight Night 1","WIN","CARLO PEDERSOLI","MATTEO CAPACCIOLI","TKO (Punches and Elbows)","Basilio Tazio","1","2:25",""
"Magnum FC - Magnum Fighting Championship 1","WIN","CARLO PEDERSOLI","ORLANDO D'AMBROSIO","Submission (Guillotine Choke)","Grant Waterman","2","3:26",""
"XFN - X Fight Nights","WIN","CARLO PEDERSOLI","MATUS JURACEK","Decision (Unanimous)","Pavel Tous","3","5:00",""
"Fight or Nothing - Road to Bellator","WIN","CARLO PEDERSOLI","VIRGILIU FRASINEAC","Decision (Unanimous)","Manuel Colleoni","3","5:00",""
"RFC - Real Fight Championship 3","LOSS","CARLO PEDERSOLI","YUKI OKANO","Decision (Split)","N/A","2","5:00",""
"Hells Angels Eternal City - 2nd Bikes and Fights Night","WIN","CARLO PEDERSOLI","ANGELO RUBINO","Submission (Armbar)","Fabio Tafaro","1","3:51",""
"Storm 9 - Pennese vs. Sircu","WIN","CARLO PEDERSOLI","GIUSEPPE TIVOLESI","TKO","Fabio Tafaro","1","1:44",""
"White Rex - Tana Delle Tigri 2","WIN","CARLO PEDERSOLI","GIANMARCO ROMEO","TKO (Punches)","Andrea Bruni","2","2:10",""
"UFC 232 - Jones vs. Gustafsson 2","LOSS","CARLOS CONDIT","MICHAEL CHIESA","Submission (Kimura)","Mike Beltran","2","0:56","-120"
"UFC on Fox 29 - Poirier vs. Gaethje","LOSS","CARLOS CONDIT","ALEX OLIVEIRA","Submission (Guillotine Choke)","Chris Tognoni","2","3:17","+125"
"UFC 219 - Cyborg vs. Holm","LOSS","CARLOS CONDIT","NEIL MAGNY","Decision (Unanimous)","John McCarthy","3","5:00","-185"
"UFC on Fox 21 - Maia vs. Condit","LOSS","CARLOS CONDIT","DEMIAN MAIA","Submission (Rear-Naked Choke)","John McCarthy","1","1:52","-145"
"UFC 195 - Lawler vs. Condit","LOSS","CARLOS CONDIT","ROBBIE LAWLER","Decision (Split)","John McCarthy","5","5:00","-115"
"UFC Fight Night 67 - Condit vs. Alves","WIN","CARLOS CONDIT","THIAGO ALVES","TKO (Doctor Stoppage)","Mario Yamasaki","2","5:00","-385"
"UFC 171 - Hendricks vs. Lawler","LOSS","CARLOS CONDIT","TYRON WOODLEY","TKO (Leg Kick)","Jacob Montalvo","2","2:00","-208"
"UFC Fight Night 27 - Condit vs. Kampmann 2","WIN","CARLOS CONDIT","MARTIN KAMPMANN","TKO (Punches and Knees)","Herb Dean","4","0:54","-380"
"UFC 158 - St. Pierre vs. Diaz","LOSS","CARLOS CONDIT","JOHNY HENDRICKS","Decision (Unanimous)","Marc Goddard","3","5:00","-117"
"UFC 154 - St. Pierre vs. Condit","LOSS","CARLOS CONDIT","GEORGES ST. PIERRE","Decision (Unanimous)","Yves Lavigne","5","5:00","+205"
"UFC 143 - Diaz vs. Condit","WIN","CARLOS CONDIT","NICK DIAZ","Decision (Unanimous)","Steve Mazzagatti","5","5:00","+155"
"UFC 132 - Cruz vs. Faber 2","WIN","CARLOS CONDIT","DONG HYUN KIM","TKO (Flying Knee and Punches)","Steve Mazzagatti","1","2:58","-125"
"UFC 120 - Bisping vs. Akiyama","WIN","CARLOS CONDIT","DAN HARDY","KO (Punch)","Dan Miragliotta","1","4:27","+135"
"UFC 115 - Liddell vs. Franklin","WIN","CARLOS CONDIT","RORY MACDONALD","TKO (Punches)","Kevin Dornan","3","4:53","-110"
"UFC Fight Night 19 - Diaz vs. Guillard","WIN","CARLOS CONDIT","JAKE ELLENBERGER","Decision (Split)","Leon Roberts","3","5:00","-550"
"UFC Fight Night 18 - Condit vs. Kampmann","LOSS","CARLOS CONDIT","MARTIN KAMPMANN","Decision (Split)","Herb Dean","3","5:00","-120"
"WEC 35 - World Extreme Cagefighting 35","WIN","CARLOS CONDIT","HIROMITSU MIURA","TKO (Punches)","Josh Rosenthal","4","4:43","-825"
"WEC 32 - Albuquerque","WIN","CARLOS CONDIT","CARLO PRATER","Submission (Guillotine Choke)","N/A","1","3:48","-450"
"WEC 29 - Las Vegas","WIN","CARLOS CONDIT","BROCK LARSON","Submission (Armbar)","Steve Mazzagatti","1","2:21","-115"
"WEC 26 - Las Vegas","WIN","CARLOS CONDIT","JOHN ALESSIO","Submission (Rear-Naked Choke)","John McCarthy","2","4:59",""
"WEC 25 - Las Vegas","WIN","CARLOS CONDIT","KYLE JENSEN","Submission (Rear-Naked Choke)","Yves Lavigne","1","2:10",""
"Pancrase - Blow 9","WIN","CARLOS CONDIT","TATSUNORI TANAKA","KO (Stomps)","Soichi Hiroto","1","2:13",""
"Pancrase - Blow 7","WIN","CARLOS CONDIT","TAKUYA WADA","Submission (Kimura)","Soichi Hiroto","3","4:22",""
"Pancrase - 2006 Neo-Blood Tournament Finals","WIN","CARLOS CONDIT","KOJI OISHI","TKO (Doctor Stoppage)","Hirotoshi Okamoto","3","1:01",""
"Extreme Wars 3 - Bay Area Brawl","LOSS","CARLOS CONDIT","PAT HEALY","Submission (Rear-Naked Choke)","N/A","3","2:53",""
"ROTR 9 - Rumble on the Rock 9","LOSS","CARLOS CONDIT","JAKE SHIELDS","Decision (Unanimous)","Troy Mandaloniz","3","5:00",""
"ROTR 9 - Rumble on the Rock 9","WIN","CARLOS CONDIT","FRANK TRIGG","Submission (Triangle Armbar)","Larry Landless","1","1:22",""
"ROTR 8 - Rumble on the Rock 8","WIN","CARLOS CONDIT","RENATO VERISSIMO","TKO (Knees and Punches)","N/A","1","0:17",""
"ROTR - Just Scrap","WIN","CARLOS CONDIT","ROSS EBANEZ","TKO (Punches)","N/A","1","1:27",""
"Pancrase - Spiral 8","LOSS","CARLOS CONDIT","SATORU KITAOKA","Submission (Heel Hook)","Ryogaku Wada","1","3:57",""
"ROF 19 - Showdown","WIN","CARLOS CONDIT","ISIDRO GONZALEZ","Submission (Armbar)","Christian Carvalho","1","1:06",""
"PNRF - Demolition","WIN","CARLOS CONDIT","MASAKI TUCHHI","KO (Head Kick)","N/A","1","4:35",""
"FW 3 - Fightworld 3","WIN","CARLOS CONDIT","RANDY HAUER","KO (Punches)","N/A","1","1:27",""
"IE - Independent Event","WIN","CARLOS CONDIT","WILL BRADFORD","TKO (Punches)","N/A","1","1:30",""
"FW 2 - Fightworld 2","LOSS","CARLOS CONDIT","CARLO PRATER","Submission (Triangle Choke)","N/A","1","2:51",""
"ROF 12 - Nemesis","WIN","CARLOS CONDIT","BRANDON MELENDEZ","Submission (Triangle Choke)","Christian Carvalho","1","0:50",""
"KOTC 35 - Acoma","WIN","CARLOS CONDIT","JARVIS BRENNAMAN","Submission (Armbar)","N/A","1","0:34",""
"ROF 11 - Bring It On","WIN","CARLOS CONDIT","BRAD GUMM","TKO (Punches)","N/A","1","1:11",""
"KOTC 26 - Gladiator Challenge","WIN","CARLOS CONDIT","DAVID LINDEMEYER","Submission (Armbar)","N/A","1","0:46",""
"Triple Threat - Fight Night 1","WIN","CARLOS CONDIT","TYRELL MCELROY","Submission (Choke)","N/A","1","2:49",""
"FP - Fresquez Productions","WIN","CARLOS CONDIT","ANTONIO ZAMORA","TKO (Punches)","N/A","1","0:29",""
"RFC 1 - Reality Fighting Championships 1","WIN","CARLOS CONDIT","TOMMY GOUGE","Submission (Armbar)","N/A","1","0:45",""
"AC 1 - Aztec Challenge 1","WIN","CARLOS CONDIT","NICK ROSCORLA","Submission (Rear-Naked Choke)","N/A","1","0:52",""
"UFC 237 - Namajunas vs. Andrade","LOSS","CARLOS HUACHIN","RAONI BARCELOS","TKO (Elbows and Punches)","Eduardo Herdy","2","4:49",""
"Inka Fighting Championship - Inka FC 29: Huachin vs. Cavalcante","WIN","CARLOS HUACHIN","MARCELINO CAVALCANTE","TKO (Punches)","Romulo Balarezo","1","2:50",""
"Fusion Fighting Championship - FFC 35: Tubarao vs. Zarauz","WIN","CARLOS HUACHIN","ANDRINE DALLA CLEMENTE","KO (Punch)","Gustavo Torres","1","3:20",""
"300 Sparta 26 - Soncora vs. Pimenta","DRAW","CARLOS HUACHIN","RODRIGO VERA","Draw","Alexander Vinces","3","5:00",""
"FFC 29 - Estela vs. Bedoya","WIN","CARLOS HUACHIN","BRUNO PEREIRA DA SILVA","Submission (Rear-Naked Choke)","Gustavo Torres","2","3:38",""
"FFC 28 - Cubas vs. Guarnizo","WIN","CARLOS HUACHIN","FERNANDO NORIEGA","TKO (Punches)","David Casaretto","1","4:20",""
"FFC 23 - Nene vs. Huracan","WIN","CARLOS HUACHIN","FRANKLIN MANUEL SERRANO MONTIEL","KO (Punches)","David Casaretto","1","0:27",""
"Tatya FC 7 - Huachin vs. Dapello","WIN","CARLOS HUACHIN","LUIGI DAPELLO","KO (Head Kick)","Johnny Iwasaki","1","0:38",""
"Strike Off 6 - Battle of Warriors","LOSS","CARLOS HUACHIN","AHMET KAYRETLI","Decision (Unanimous)","Shaun Spath","3","5:00",""
"FFC 13 - Fusion Fighting Championship 13","WIN","CARLOS HUACHIN","ALEJANDRO BERROCAL","TKO (Punches)","N/A","1","N/A",""
"FFC 12 - Fusion Fighting Championship 12","WIN","CARLOS HUACHIN","FERNANDO GALLEGOS","TKO (Punches)","N/A","1","4:01",""
"Tayta FC 3 - Tayta Fighting Championship 3","WIN","CARLOS HUACHIN","DIEGO MANDAMIENTO","TKO","N/A","1","3:00",""
"Peru FC - Peru Fighting Championship 18","WIN","CARLOS HUACHIN","JUAN MARTINEZ","Submission (Triangle Choke)","Juan Manuel Dias","1","2:58",""
"Inka FC 25 - No to Racism","LOSS","CARLOS HUACHIN","LUIS MARLON GONZALES CAMPOS","Decision (Unanimous)","N/A","3","5:00",""
"Tayta FC 2 - Tayta Fighting Championship 2","LOSS","CARLOS HUACHIN","MARTIN VILLAREAL","Decision (Unanimous)","N/A","3","5:00",""
"UFC 241 - Cormier vs. Miocic 2","WIN","CASEY KENNEY","MANNY BERMUDEZ","Decision (Unanimous)","Frank Trigg","3","5:00","+137"
"UFC on ESPN 2 - Barboza vs. Gaethje","WIN","CASEY KENNEY","RAY BORG","Decision (Unanimous)","James Chappell","3","5:00","+185"
"LFA 62 - Kenney vs. Cachero","WIN","CASEY KENNEY","VINCE CACHERO","KO (Knee)","Aladin Martinez","1","1:38","-150"
"LFA 53 - Royval vs. Kenney","WIN","CASEY KENNEY","BRANDON ROYVAL","Decision (Unanimous)","Raul Porrata","5","5:00","-255"
"LFA 44 - Frincu vs. Aguilera","WIN","CASEY KENNEY","ROMAN SALAZAR","Decision (Unanimous)","N/A","3","5:00","-977"
"LFA 31 - Moffett vs. Le","WIN","CASEY KENNEY","KENDRICK LATCHMAN","Decision (Unanimous)","N/A","3","5:00","-475"
"Dana White's Tuesday Night Contender Series - Season 1, Episode 8","LOSS","CASEY KENNEY","ADAM ANTOLIN","Decision (Split)","Jason Herzog","3","5:00",""
"Dana White's Tuesday Night Contender Series - Season 1, Episode 2","WIN","CASEY KENNEY","C.J. HAMILTON","Decision (Unanimous)","Mark Smith","3","5:00",""
"LFA 11 - Frincu vs. Mendonca","DRAW","CASEY KENNEY","BRUNO SILVA","Draw (Split)","Nick Jones","3","5:00","-245"
"TPF 30 - Tachi Palace Fights 30","WIN","CASEY KENNEY","ALVIN CACDAC","Submission (Rear-Naked Choke)","Mark Lawley","1","4:09",""
"TPF 27 - Tachi Palace Fights 27","WIN","CASEY KENNEY","RAFAEL ANGEL HERNANDEZ","Submission (Brabo Choke)","Jason McCoy","1","3:44",""
"TPF 26 - Brawl in the Hall","WIN","CASEY KENNEY","ANTHONY TORRES","Submission (Armbar)","Mark Lawley","1","1:48",""
"TPF 25 - Tachi Palace Fights 25","WIN","CASEY KENNEY","VICTOR ROSAS","TKO (Doctor Stoppage)","Mark Lawley","3","4:31",""
"DH - Dragon House 20","WIN","CASEY KENNEY","PAUL AMARO","Decision (Unanimous)","N/A","3","5:00",""
"DFD - Duel for Domination 10","WIN","CASEY KENNEY","ELIJAH MUHAMMAD","Submission (Rear-Naked Choke)","N/A","2","2:26",""
"WFF - World Fighting Federation 14","WIN","CASEY KENNEY","JONATHAN SALAZAR","Submission (Rear-Naked Choke)","N/A","1","2:54",""
"KOTC - Radar Lock","WIN","CASEY KENNEY","LOU CONTRERAS","Submission (Rear-Naked Choke)","N/A","1","2:40",""
"UFC 232 - Jones vs. Gustafsson 2","LOSS","CAT ZINGANO","MEGAN ANDERSON","TKO (Eye Injury)","Marc Goddard","1","1:01","-140"
"UFC Fight Night 133 - Dos Santos vs. Ivanov","WIN","CAT ZINGANO","MARION RENEAU","Decision (Unanimous)","Rulon Day","3","5:00","-125"
"UFC 222 - Cyborg vs. Kunitskaya","LOSS","CAT ZINGANO","KETLEN VIEIRA","Decision (Split)","Jason Herzog","3","5:00","-110"
"UFC 200 - Tate vs. Nunes","LOSS","CAT ZINGANO","JULIANNA PENA","Decision (Unanimous)","Herb Dean","3","5:00","-181"
"UFC 184 - Rousey vs. Zingano","LOSS","CAT ZINGANO","RONDA ROUSEY","Submission (Straight Armbar)","John McCarthy","1","0:14","+400"
"UFC 178 - Johnson vs. Cariaso","WIN","CAT ZINGANO","AMANDA NUNES","TKO (Elbows and Punches)","Jason Herzog","3","1:21","-280"
"UFC - The Ultimate Fighter 17 Finale","WIN","CAT ZINGANO","MIESHA TATE","TKO (Knees and Elbow)","Kim Winslow","3","2:55","-125"
"Invicta FC 3 - Penne vs. Sugiyama","WIN","CAT ZINGANO","RAQUEL PENNINGTON","Submission (Rear-Naked Choke)","Greg Franklin","2","3:32","n/a"
"FTW - Outlaws","WIN","CAT ZINGANO","TAKAYO HASHI","KO (Slam)","Tim Mills","3","4:42",""
"Crowbar MMA - Winter Brawl","WIN","CAT ZINGANO","CARINA DAMM","TKO (Punches and Elbows)","Daniel Grimestad","2","3:37",""
